,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Washington FLL Eastern Spokane Qualifier Saturday,1932,4700,21282,58388,58363,9278,58654,58592,63336,58284,60231,64348,62803,40706,58390,63709,63710,2502,60197,6203,21049,58954,58387,60193,6204,58650,36635,64189,41979,62832,28806,59596.0,63235.0,58653.0,40707.0,57073.0,12707.0,44969.0,60301.0,
Washington FLL North Sound Snohomish Qualifier Saturday,31404,22311,22312,48852,58540,21737,28349,2797,60331,25936,25930,49292,59337,34195,64609,52081,60092,19232,21258,64107,56115,60500,35129,54520,52533,49060,59722,60237,41321,26779,34211,13335.0,20525.0,38789.0,50044.0,50045.0,60816.0,63830.0,59377.0,60068.0
Washington FLL Eastside Bellevue Qualifier Saturday,2201,56258,48572,62617,16146,60238,63678,50460,62784,60127,62032,62027,52549,52060,57426,61654,25622,58820,60233,62917,61994,56913,58926,31690,2120,64077,55771,55982,27820,60018,55510,56297.0,12320.0,54697.0,61700.0,41991.0,2200.0,58542.0,58543.0,58544.0
Washington FLL Central South Tri-Cities Qualifier Saturday,1771,61804,57789,62751,62051,14,45235,55013,62521,46665,60081,62752,64378,62860,64343,62941,62942,14374,62847,60232,62520,57955,60933,62577,21274,26302,62576,60053,63332,11388,63188,,,,,,,,,
Washington FLL South Federal Way Qualifier Saturday,11429,59656,56811,55999,61272,57850,57851,64728,56229,53765,53769,53776,58049,53781,53767,53768,58051,53770,53772,53780,53771,58050,58048,58047,53777,53778,53779,63653,32224,53774,8200,8712.0,48181.0,63088.0,26386.0,48726.0,60628.0,44640.0,53775.0,60395.0
Washington FLL South Sound Tacoma Qualifier Sunday ,5003,25993,33945,61593,57854,11856,57954,25760,10904,2053,64005,47029,10695,63200,2051,54187,61595,61594,30722,52878,3388,52743,62667,63079,28895,61596,30931,2052,61519,57853,24477,1521.0,61770.0,56279.0,1522.0,63237.0,63466.0,63959.0,2054.0,63827.0
Washington FLL North Sound Everett Qualifier Saturday ,38157,62864,62822,63641,39124,63734,64302,8027,61738,11035,28450,21951,54581,33948,62891,21257,22147,64646,60040,60041,52703,30041,15417,3840,25208,18784,20406,29719,21323,2989,35836,60358.0,27132.0,21896.0,35838.0,28275.0,64114.0,22595.0,27923.0,60751.0
Washington FLL Eastside Issaquah Sunday,60251,41330,32237,32238,32236,32235,54806,34915,63943,39803,63344,63314,63313,63315,63316,54736,64732,61221,41317,41318,19690,63149,60970,32242,32245,51706,32241,24147,56081,20274,62993,60590.0,64145.0,60626.0,32239.0,57827.0,60182.0,23732.0,39801.0,48352.0
Washington FLL Central South Pasco Qualifier ,56556,34509,26100,63146,21393,21395,27638,36204,59664,21820,58952,64037,26210,21276,21392,55142,28354,36444,51162,63838,36203,62206,28529,55143,48926,41912,48928,48927,21396,36205,54682,64022.0,64024.0,64025.0,64027.0,64023.0,64029.0,64028.0,64026.0,64021.0
Washington FLL North Sound Everett Qualifier Sunday,60750,60749,63683,34208,13538,49196,43140,42485,61739,34648,34210,34209,22116,35289,28469,13545,22267,61827,61828,60997,63271,63272,64218,63990,47531,49828,22148,22356,28464,17866,34212,35465.0,59338.0,30042.0,60752.0,6438.0,63669.0,24790.0,63670.0,62859.0
Washington FLL Eastside Bellevue Qualifier Sunday ,58545,58546,51234,63334,60614,39802,62358,14014,39804,55556,61863,60180,41322,59830,61421,42259,57974,62991,63050,63609,58890,63671,63125,62687,14016,58733,60323,32244,62863,63126,858,58471.0,64158.0,60903.0,62026.0,60838.0,58889.0,55744.0,41324.0,61613.0
Washington FLL South Federal Way Qualifier Sunday ,61942,32240,41331,62959,48338,60732,62992,47958,45435,48357,41319,63477,5004,64074,52617,1722,63317,17124,59715,24975,63312,62676,63549,30040,62762,21674,23888,34206,54473,62684,64763,13540.0,28507.0,62067.0,6245.0,2242.0,42519.0,28389.0,63118.0,23290.0
Washington FLL North Sound Snohomish Qualifier Sunday,52141,51539,53319,8024,56777,47054,47055,39764,57621,23903,62909,61204,62444,1962,10150,21744,52805,60536,62297,55547,61771,61668,62916,42115,53328,60125,52138,61211,63356,57637,63470,58295.0,28950.0,41323.0,60327.0,41868.0,62666.0,51999.0,62983.0,57628.0
